Year,Country,Region,Crop_Type,Average_Temperature_C,Total_Precipitation_mm,CO2_Emissions_MT,Crop_Yield_MT_per_HA,Extreme_Weather_Events,Irrigation_Access_%,Pesticide_Use_KG_per_HA,Fertilizer_Use_KG_per_HA,Soil_Health_Index,Adaptation_Strategies,Economic_Impact_Million_USD,Producer_Price(USD/tonne)
2002,Canada,Quebec,Barley,11.43,1972.77,15.73,1.4400000000000002,1,86.25,12.9,8.68,85.39,Drought-resistant Crops,536.57,151.0
2002,Canada,Quebec,Barley,11.43,1972.77,15.73,1.4400000000000002,1,86.25,12.9,8.68,85.39,Drought-resistant Crops,536.57,96.2
2013,Australia,Queensland,Wheat,-4.86,302.22,5.86,2.007,5,89.25,49.37,84.86,95.01,Organic Farming,570.6,313.0
2013,Australia,Queensland,Wheat,-4.86,302.22,5.86,2.007,5,89.25,49.37,84.86,95.01,Organic Farming,570.6,313.0
2013,Australia,Queensland,Wheat,-4.86,302.22,5.86,2.007,5,89.25,49.37,84.86,95.01,Organic Farming,570.6,302.2
1994,China,North,Wheat,20.28,463.25,10.62,1.557,7,71.63,28.73,84.75,50.25,Water Management,219.77,1086.0
1994,China,North,Wheat,20.28,463.25,10.62,1.557,7,71.63,28.73,84.75,50.25,Water Management,219.77,1086.0
1994,China,North,Wheat,20.28,463.25,10.62,1.557,7,71.63,28.73,84.75,50.25,Water Management,219.77,126.0
2012,Canada,Quebec,Barley,12.15,1346.77,16.04,2.16,10,30.38,47.69,60.39,99.58,Water Management,727.08,224.8
2012,Canada,Quebec,Barley,12.15,1346.77,16.04,2.16,10,30.38,47.69,60.39,99.58,Water Management,727.08,221.0
2012,Canada,Quebec,Barley,12.15,1346.77,16.04,2.16,10,30.38,47.69,60.39,99.58,Water Management,727.08,221.0
2012,Canada,Quebec,Barley,12.15,1346.77,16.04,2.16,10,30.38,47.69,60.39,99.58,Water Management,727.08,234.0
2012,Canada,Quebec,Barley,12.15,1346.77,16.04,2.16,10,30.38,47.69,60.39,99.58,Water Management,727.08,222.0
2012,Canada,Quebec,Barley,12.15,1346.77,16.04,2.16,10,30.38,47.69,60.39,99.58,Water Management,727.08,215.0
2012,Canada,Quebec,Barley,12.15,1346.77,16.04,2.16,10,30.38,47.69,60.39,99.58,Water Management,727.08,229.0
2012,Canada,Quebec,Barley,12.15,1346.77,16.04,2.16,10,30.38,47.69,60.39,99.58,Water Management,727.08,229.0
2012,Canada,Quebec,Barley,12.15,1346.77,16.04,2.16,10,30.38,47.69,60.39,99.58,Water Management,727.08,233.0
2012,Canada,Quebec,Barley,12.15,1346.77,16.04,2.16,10,30.38,47.69,60.39,99.58,Water Management,727.08,245.0
2012,Canada,Quebec,Barley,12.15,1346.77,16.04,2.16,10,30.38,47.69,60.39,99.58,Water Management,727.08,247.0
2012,Canada,Quebec,Barley,12.15,1346.77,16.04,2.16,10,30.38,47.69,60.39,99.58,Water Management,727.08,277.0
2012,Canada,Quebec,Barley,12.15,1346.77,16.04,2.16,10,30.38,47.69,60.39,99.58,Water Management,727.08,280.0
2012,Canada,Quebec,Barley,12.15,1346.77,16.04,2.16,10,30.38,47.69,60.39,99.58,Water Management,727.08,224.8
2012,Canada,Quebec,Barley,12.15,1346.77,16.04,2.16,10,30.38,47.69,60.39,99.58,Water Management,727.08,224.9
2021,Brazil,Northeast,Rice,17.49,1924.14,25.39,4.383,6,49.01,16.9,44.85,65.24,Drought-resistant Crops,1559.79,1641.3
2021,Brazil,Northeast,Rice,17.49,1924.14,25.39,4.383,6,49.01,16.9,44.85,65.24,Drought-resistant Crops,1559.79,1641.3
2021,Brazil,Northeast,Rice,17.49,1924.14,25.39,4.383,6,49.01,16.9,44.85,65.24,Drought-resistant Crops,1559.79,304.3
1999,Russia,Northwestern,Barley,20.37,1353.77,13.37,2.69,10,85.99,45.25,35.08,94.23,Water Management,1041.89,1086.0
1999,Russia,Northwestern,Barley,20.37,1353.77,13.37,2.69,10,85.99,45.25,35.08,94.23,Water Management,1041.89,1086.0
1999,Russia,Northwestern,Barley,20.37,1353.77,13.37,2.69,10,85.99,45.25,35.08,94.23,Water Management,1041.89,44.1
2005,China,South,Rice,0.8,688.32,15.61,0.7110000000000001,2,79.3,18.85,27.96,31.44,Water Management,224.78,2630.0
2005,China,South,Rice,0.8,688.32,15.61,0.7110000000000001,2,79.3,18.85,27.96,31.44,Water Management,224.78,2630.0
2005,China,South,Rice,0.8,688.32,15.61,0.7110000000000001,2,79.3,18.85,27.96,31.44,Water Management,224.78,321.0
1995,USA,Northeast,Barley,25.61,1076.04,5.18,3.42,4,76.24,24.62,3.44,48.22,Crop Rotation,470.66,133.0
1995,USA,Northeast,Barley,25.61,1076.04,5.18,3.42,4,76.24,24.62,3.44,48.22,Crop Rotation,470.66,133.0
1995,USA,Northeast,Barley,25.61,1076.04,5.18,3.42,4,76.24,24.62,3.44,48.22,Crop Rotation,470.66,133.0
1991,Argentina,Northeast,Rice,5.24,791.39,20.4,1.026,0,80.94,4.19,61.5,41.57,No Adaptation,318.02,3525300.0
1991,Argentina,Northeast,Rice,5.24,791.39,20.4,1.026,0,80.94,4.19,61.5,41.57,No Adaptation,318.02,352.5
1991,Argentina,Northeast,Rice,5.24,791.39,20.4,1.026,0,80.94,4.19,61.5,41.57,No Adaptation,318.02,369.7
2021,Brazil,North,Wheat,14.03,862.7,2.95,3.35,6,65.77,35.36,37.86,44.68,Organic Farming,1260.01,1396.8
2021,Brazil,North,Wheat,14.03,862.7,2.95,3.35,6,65.77,35.36,37.86,44.68,Organic Farming,1260.01,1396.8
2021,Brazil,North,Wheat,14.03,862.7,2.95,3.35,6,65.77,35.36,37.86,44.68,Organic Farming,1260.01,258.9
2015,USA,West,Wheat,32.95,1948.98,2.57,2.22,10,26.73,12.9,4.31,38.69,Drought-resistant Crops,546.83,180.0
2015,USA,West,Wheat,32.95,1948.98,2.57,2.22,10,26.73,12.9,4.31,38.69,Drought-resistant Crops,546.83,226.0
2015,USA,West,Wheat,32.95,1948.98,2.57,2.22,10,26.73,12.9,4.31,38.69,Drought-resistant Crops,546.83,216.0
2015,USA,West,Wheat,32.95,1948.98,2.57,2.22,10,26.73,12.9,4.31,38.69,Drought-resistant Crops,546.83,209.0
2015,USA,West,Wheat,32.95,1948.98,2.57,2.22,10,26.73,12.9,4.31,38.69,Drought-resistant Crops,546.83,204.0
2015,USA,West,Wheat,32.95,1948.98,2.57,2.22,10,26.73,12.9,4.31,38.69,Drought-resistant Crops,546.83,196.0
2015,USA,West,Wheat,32.95,1948.98,2.57,2.22,10,26.73,12.9,4.31,38.69,Drought-resistant Crops,546.83,200.0
2015,USA,West,Wheat,32.95,1948.98,2.57,2.22,10,26.73,12.9,4.31,38.69,Drought-resistant Crops,546.83,192.0
2015,USA,West,Wheat,32.95,1948.98,2.57,2.22,10,26.73,12.9,4.31,38.69,Drought-resistant Crops,546.83,178.0
2015,USA,West,Wheat,32.95,1948.98,2.57,2.22,10,26.73,12.9,4.31,38.69,Drought-resistant Crops,546.83,173.0
2015,USA,West,Wheat,32.95,1948.98,2.57,2.22,10,26.73,12.9,4.31,38.69,Drought-resistant Crops,546.83,179.0
2015,USA,West,Wheat,32.95,1948.98,2.57,2.22,10,26.73,12.9,4.31,38.69,Drought-resistant Crops,546.83,179.0
2015,USA,West,Wheat,32.95,1948.98,2.57,2.22,10,26.73,12.9,4.31,38.69,Drought-resistant Crops,546.83,173.0
2015,USA,West,Wheat,32.95,1948.98,2.57,2.22,10,26.73,12.9,4.31,38.69,Drought-resistant Crops,546.83,180.0
2015,USA,West,Wheat,32.95,1948.98,2.57,2.22,10,26.73,12.9,4.31,38.69,Drought-resistant Crops,546.83,180.0
1998,Nigeria,North West,Rice,14.13,1606.51,13.58,2.63,9,19.43,9.33,33.95,46.95,Organic Farming,614.57,31950.0
1998,Nigeria,North West,Rice,14.13,1606.51,13.58,2.63,9,19.43,9.33,33.95,46.95,Organic Farming,614.57,31950.0
1998,Nigeria,North West,Rice,14.13,1606.51,13.58,2.63,9,19.43,9.33,33.95,46.95,Organic Farming,614.57,386.9
2022,USA,Northeast,Barley,17.82,2902.3,21.15,4.32,10,37.27,2.87,76.45,48.73,Crop Rotation,613.54,335.3
2022,USA,Northeast,Barley,17.82,2902.3,21.15,4.32,10,37.27,2.87,76.45,48.73,Crop Rotation,613.54,256.7
2022,USA,Northeast,Barley,17.82,2902.3,21.15,4.32,10,37.27,2.87,76.45,48.73,Crop Rotation,613.54,249.4
2022,USA,Northeast,Barley,17.82,2902.3,21.15,4.32,10,37.27,2.87,76.45,48.73,Crop Rotation,613.54,261.3
2022,USA,Northeast,Barley,17.82,2902.3,21.15,4.32,10,37.27,2.87,76.45,48.73,Crop Rotation,613.54,275.6
2022,USA,Northeast,Barley,17.82,2902.3,21.15,4.32,10,37.27,2.87,76.45,48.73,Crop Rotation,613.54,278.8
2022,USA,Northeast,Barley,17.82,2902.3,21.15,4.32,10,37.27,2.87,76.45,48.73,Crop Rotation,613.54,296.7
2022,USA,Northeast,Barley,17.82,2902.3,21.15,4.32,10,37.27,2.87,76.45,48.73,Crop Rotation,613.54,303.1
2022,USA,Northeast,Barley,17.82,2902.3,21.15,4.32,10,37.27,2.87,76.45,48.73,Crop Rotation,613.54,341.7
2022,USA,Northeast,Barley,17.82,2902.3,21.15,4.32,10,37.27,2.87,76.45,48.73,Crop Rotation,613.54,341.3
2022,USA,Northeast,Barley,17.82,2902.3,21.15,4.32,10,37.27,2.87,76.45,48.73,Crop Rotation,613.54,343.1
2022,USA,Northeast,Barley,17.82,2902.3,21.15,4.32,10,37.27,2.87,76.45,48.73,Crop Rotation,613.54,332.5
2022,USA,Northeast,Barley,17.82,2902.3,21.15,4.32,10,37.27,2.87,76.45,48.73,Crop Rotation,613.54,343.6
2022,USA,Northeast,Barley,17.82,2902.3,21.15,4.32,10,37.27,2.87,76.45,48.73,Crop Rotation,613.54,335.3
2022,USA,Northeast,Barley,17.82,2902.3,21.15,4.32,10,37.27,2.87,76.45,48.73,Crop Rotation,613.54,335.3
2007,France,Nouvelle-Aquitaine,Wheat,13.11,1295.11,29.87,1.98,7,90.63,21.67,36.42,62.68,Organic Farming,960.79,189.4
2007,France,Nouvelle-Aquitaine,Wheat,13.11,1295.11,29.87,1.98,7,90.63,21.67,36.42,62.68,Organic Farming,960.79,189.4
2007,France,Nouvelle-Aquitaine,Wheat,13.11,1295.11,29.87,1.98,7,90.63,21.67,36.42,62.68,Organic Farming,960.79,259.2
2015,Brazil,Southeast,Rice,31.62,2415.63,18.87,2.709,5,34.88,26.14,79.44,31.79,Organic Farming,802.45,802.5
2015,Brazil,Southeast,Rice,31.62,2415.63,18.87,2.709,5,34.88,26.14,79.44,31.79,Organic Farming,802.45,790.0
2015,Brazil,Southeast,Rice,31.62,2415.63,18.87,2.709,5,34.88,26.14,79.44,31.79,Organic Farming,802.45,780.0
2015,Brazil,Southeast,Rice,31.62,2415.63,18.87,2.709,5,34.88,26.14,79.44,31.79,Organic Farming,802.45,810.0
2015,Brazil,Southeast,Rice,31.62,2415.63,18.87,2.709,5,34.88,26.14,79.44,31.79,Organic Farming,802.45,830.0
2015,Brazil,Southeast,Rice,31.62,2415.63,18.87,2.709,5,34.88,26.14,79.44,31.79,Organic Farming,802.45,830.0
2015,Brazil,Southeast,Rice,31.62,2415.63,18.87,2.709,5,34.88,26.14,79.44,31.79,Organic Farming,802.45,820.0
2015,Brazil,Southeast,Rice,31.62,2415.63,18.87,2.709,5,34.88,26.14,79.44,31.79,Organic Farming,802.45,820.0
2015,Brazil,Southeast,Rice,31.62,2415.63,18.87,2.709,5,34.88,26.14,79.44,31.79,Organic Farming,802.45,800.0
2015,Brazil,Southeast,Rice,31.62,2415.63,18.87,2.709,5,34.88,26.14,79.44,31.79,Organic Farming,802.45,780.0
2015,Brazil,Southeast,Rice,31.62,2415.63,18.87,2.709,5,34.88,26.14,79.44,31.79,Organic Farming,802.45,780.0
2015,Brazil,Southeast,Rice,31.62,2415.63,18.87,2.709,5,34.88,26.14,79.44,31.79,Organic Farming,802.45,790.0
2015,Brazil,Southeast,Rice,31.62,2415.63,18.87,2.709,5,34.88,26.14,79.44,31.79,Organic Farming,802.45,800.0
2015,Brazil,Southeast,Rice,31.62,2415.63,18.87,2.709,5,34.88,26.14,79.44,31.79,Organic Farming,802.45,802.5
2015,Brazil,Southeast,Rice,31.62,2415.63,18.87,2.709,5,34.88,26.14,79.44,31.79,Organic Farming,802.45,241.2
1996,France,Provence-Alpes-Cote d’Azur,Rice,7.95,1467.03,19.25,2.196,6,26.76,4.93,88.84,80.57,Water Management,791.93,1977.1
1996,France,Provence-Alpes-Cote d’Azur,Rice,7.95,1467.03,19.25,2.196,6,26.76,4.93,88.84,80.57,Water Management,791.93,301.4
1996,France,Provence-Alpes-Cote d’Azur,Rice,7.95,1467.03,19.25,2.196,6,26.76,4.93,88.84,80.57,Water Management,791.93,386.5
2014,Russia,Siberian,Barley,11.72,508.99,13.77,3.32,9,11.97,6.83,23.21,43.49,Water Management,955.4,5516.2
2014,Russia,Siberian,Barley,11.72,508.99,13.77,3.32,9,11.97,6.83,23.21,43.49,Water Management,955.4,5872.0
2014,Russia,Siberian,Barley,11.72,508.99,13.77,3.32,9,11.97,6.83,23.21,43.49,Water Management,955.4,6046.0
2014,Russia,Siberian,Barley,11.72,508.99,13.77,3.32,9,11.97,6.83,23.21,43.49,Water Management,955.4,6173.0
2014,Russia,Siberian,Barley,11.72,508.99,13.77,3.32,9,11.97,6.83,23.21,43.49,Water Management,955.4,6127.0
2014,Russia,Siberian,Barley,11.72,508.99,13.77,3.32,9,11.97,6.83,23.21,43.49,Water Management,955.4,6256.0
2014,Russia,Siberian,Barley,11.72,508.99,13.77,3.32,9,11.97,6.83,23.21,43.49,Water Management,955.4,6278.0
2014,Russia,Siberian,Barley,11.72,508.99,13.77,3.32,9,11.97,6.83,23.21,43.49,Water Management,955.4,5973.0
2014,Russia,Siberian,Barley,11.72,508.99,13.77,3.32,9,11.97,6.83,23.21,43.49,Water Management,955.4,5538.0
2014,Russia,Siberian,Barley,11.72,508.99,13.77,3.32,9,11.97,6.83,23.21,43.49,Water Management,955.4,5019.0
2014,Russia,Siberian,Barley,11.72,508.99,13.77,3.32,9,11.97,6.83,23.21,43.49,Water Management,955.4,5095.0
2014,Russia,Siberian,Barley,11.72,508.99,13.77,3.32,9,11.97,6.83,23.21,43.49,Water Management,955.4,5300.0
2014,Russia,Siberian,Barley,11.72,508.99,13.77,3.32,9,11.97,6.83,23.21,43.49,Water Management,955.4,5746.0
2014,Russia,Siberian,Barley,11.72,508.99,13.77,3.32,9,11.97,6.83,23.21,43.49,Water Management,955.4,5516.2
2014,Russia,Siberian,Barley,11.72,508.99,13.77,3.32,9,11.97,6.83,23.21,43.49,Water Management,955.4,143.7
1992,Australia,New South Wales,Wheat,4.35,2399.24,5.67,2.64,6,15.11,4.73,82.01,55.67,Organic Farming,1121.32,199.0
1992,Australia,New South Wales,Wheat,4.35,2399.24,5.67,2.64,6,15.11,4.73,82.01,55.67,Organic Farming,1121.32,199.0
1992,Australia,New South Wales,Wheat,4.35,2399.24,5.67,2.64,6,15.11,4.73,82.01,55.67,Organic Farming,1121.32,146.2
1997,Canada,Quebec,Wheat,3.68,2635.44,28.06,1.854,6,98.02,36.21,90.85,61.11,Crop Rotation,768.75,136.0
1997,Canada,Quebec,Wheat,3.68,2635.44,28.06,1.854,6,98.02,36.21,90.85,61.11,Crop Rotation,768.75,136.0
1997,Canada,Quebec,Wheat,3.68,2635.44,28.06,1.854,6,98.02,36.21,90.85,61.11,Crop Rotation,768.75,98.2
2019,Canada,Ontario,Wheat,12.14,2476.04,12.16,3.31,6,85.1,40.41,37.23,78.55,Organic Farming,1128.87,239.0
2019,Canada,Ontario,Wheat,12.14,2476.04,12.16,3.31,6,85.1,40.41,37.23,78.55,Organic Farming,1128.87,245.0
2019,Canada,Ontario,Wheat,12.14,2476.04,12.16,3.31,6,85.1,40.41,37.23,78.55,Organic Farming,1128.87,246.0
2019,Canada,Ontario,Wheat,12.14,2476.04,12.16,3.31,6,85.1,40.41,37.23,78.55,Organic Farming,1128.87,249.0
2019,Canada,Ontario,Wheat,12.14,2476.04,12.16,3.31,6,85.1,40.41,37.23,78.55,Organic Farming,1128.87,247.0
2019,Canada,Ontario,Wheat,12.14,2476.04,12.16,3.31,6,85.1,40.41,37.23,78.55,Organic Farming,1128.87,245.0
2019,Canada,Ontario,Wheat,12.14,2476.04,12.16,3.31,6,85.1,40.41,37.23,78.55,Organic Farming,1128.87,248.0
2019,Canada,Ontario,Wheat,12.14,2476.04,12.16,3.31,6,85.1,40.41,37.23,78.55,Organic Farming,1128.87,244.0
2019,Canada,Ontario,Wheat,12.14,2476.04,12.16,3.31,6,85.1,40.41,37.23,78.55,Organic Farming,1128.87,234.0
2019,Canada,Ontario,Wheat,12.14,2476.04,12.16,3.31,6,85.1,40.41,37.23,78.55,Organic Farming,1128.87,227.0
2019,Canada,Ontario,Wheat,12.14,2476.04,12.16,3.31,6,85.1,40.41,37.23,78.55,Organic Farming,1128.87,230.0
2019,Canada,Ontario,Wheat,12.14,2476.04,12.16,3.31,6,85.1,40.41,37.23,78.55,Organic Farming,1128.87,230.0
2019,Canada,Ontario,Wheat,12.14,2476.04,12.16,3.31,6,85.1,40.41,37.23,78.55,Organic Farming,1128.87,230.0
2019,Canada,Ontario,Wheat,12.14,2476.04,12.16,3.31,6,85.1,40.41,37.23,78.55,Organic Farming,1128.87,239.0
2019,Canada,Ontario,Wheat,12.14,2476.04,12.16,3.31,6,85.1,40.41,37.23,78.55,Organic Farming,1128.87,180.1
1999,France,Nouvelle-Aquitaine,Wheat,17.83,1982.85,20.51,2.511,9,51.79,1.23,95.87,58.56,Crop Rotation,467.39,707.9
1999,France,Nouvelle-Aquitaine,Wheat,17.83,1982.85,20.51,2.511,9,51.79,1.23,95.87,58.56,Crop Rotation,467.39,107.9
1999,France,Nouvelle-Aquitaine,Wheat,17.83,1982.85,20.51,2.511,9,51.79,1.23,95.87,58.56,Crop Rotation,467.39,115.0
2021,France,Nouvelle-Aquitaine,Barley,9.02,1203.35,7.25,0.57,8,60.69,25.75,78.61,81.11,Crop Rotation,209.53,203.9
2021,France,Nouvelle-Aquitaine,Barley,9.02,1203.35,7.25,0.57,8,60.69,25.75,78.61,81.11,Crop Rotation,209.53,184.4
2021,France,Nouvelle-Aquitaine,Barley,9.02,1203.35,7.25,0.57,8,60.69,25.75,78.61,81.11,Crop Rotation,209.53,186.8
2021,France,Nouvelle-Aquitaine,Barley,9.02,1203.35,7.25,0.57,8,60.69,25.75,78.61,81.11,Crop Rotation,209.53,185.7
2021,France,Nouvelle-Aquitaine,Barley,9.02,1203.35,7.25,0.57,8,60.69,25.75,78.61,81.11,Crop Rotation,209.53,182.1
2021,France,Nouvelle-Aquitaine,Barley,9.02,1203.35,7.25,0.57,8,60.69,25.75,78.61,81.11,Crop Rotation,209.53,190.0
2021,France,Nouvelle-Aquitaine,Barley,9.02,1203.35,7.25,0.57,8,60.69,25.75,78.61,81.11,Crop Rotation,209.53,186.0
2021,France,Nouvelle-Aquitaine,Barley,9.02,1203.35,7.25,0.57,8,60.69,25.75,78.61,81.11,Crop Rotation,209.53,182.1
2021,France,Nouvelle-Aquitaine,Barley,9.02,1203.35,7.25,0.57,8,60.69,25.75,78.61,81.11,Crop Rotation,209.53,205.5
2021,France,Nouvelle-Aquitaine,Barley,9.02,1203.35,7.25,0.57,8,60.69,25.75,78.61,81.11,Crop Rotation,209.53,218.0
2021,France,Nouvelle-Aquitaine,Barley,9.02,1203.35,7.25,0.57,8,60.69,25.75,78.61,81.11,Crop Rotation,209.53,244.3
2021,France,Nouvelle-Aquitaine,Barley,9.02,1203.35,7.25,0.57,8,60.69,25.75,78.61,81.11,Crop Rotation,209.53,260.1
2021,France,Nouvelle-Aquitaine,Barley,9.02,1203.35,7.25,0.57,8,60.69,25.75,78.61,81.11,Crop Rotation,209.53,261.8
2021,France,Nouvelle-Aquitaine,Barley,9.02,1203.35,7.25,0.57,8,60.69,25.75,78.61,81.11,Crop Rotation,209.53,203.9
2021,France,Nouvelle-Aquitaine,Barley,9.02,1203.35,7.25,0.57,8,60.69,25.75,78.61,81.11,Crop Rotation,209.53,241.2
2020,USA,Midwest,Rice,26.6,803.55,2.56,1.68,2,22.53,33.18,99.97,45.34,Water Management,705.83,295.0
2020,USA,Midwest,Rice,26.6,803.55,2.56,1.68,2,22.53,33.18,99.97,45.34,Water Management,705.83,310.9
2020,USA,Midwest,Rice,26.6,803.55,2.56,1.68,2,22.53,33.18,99.97,45.34,Water Management,705.83,302.0
2020,USA,Midwest,Rice,26.6,803.55,2.56,1.68,2,22.53,33.18,99.97,45.34,Water Management,705.83,304.2
2020,USA,Midwest,Rice,26.6,803.55,2.56,1.68,2,22.53,33.18,99.97,45.34,Water Management,705.83,310.9
2020,USA,Midwest,Rice,26.6,803.55,2.56,1.68,2,22.53,33.18,99.97,45.34,Water Management,705.83,319.7
2020,USA,Midwest,Rice,26.6,803.55,2.56,1.68,2,22.53,33.18,99.97,45.34,Water Management,705.83,328.5
2020,USA,Midwest,Rice,26.6,803.55,2.56,1.68,2,22.53,33.18,99.97,45.34,Water Management,705.83,324.1
2020,USA,Midwest,Rice,26.6,803.55,2.56,1.68,2,22.53,33.18,99.97,45.34,Water Management,705.83,348.3
2020,USA,Midwest,Rice,26.6,803.55,2.56,1.68,2,22.53,33.18,99.97,45.34,Water Management,705.83,302.0
2020,USA,Midwest,Rice,26.6,803.55,2.56,1.68,2,22.53,33.18,99.97,45.34,Water Management,705.83,288.8
2020,USA,Midwest,Rice,26.6,803.55,2.56,1.68,2,22.53,33.18,99.97,45.34,Water Management,705.83,295.4
2020,USA,Midwest,Rice,26.6,803.55,2.56,1.68,2,22.53,33.18,99.97,45.34,Water Management,705.83,297.6
2020,USA,Midwest,Rice,26.6,803.55,2.56,1.68,2,22.53,33.18,99.97,45.34,Water Management,705.83,295.0
2020,USA,Midwest,Rice,26.6,803.55,2.56,1.68,2,22.53,33.18,99.97,45.34,Water Management,705.83,295.0
2015,Canada,Ontario,Wheat,14.55,2246.35,2.94,2.8,1,51.57,49.28,8.16,45.16,Drought-resistant Crops,510.85,232.1
2015,Canada,Ontario,Wheat,14.55,2246.35,2.94,2.8,1,51.57,49.28,8.16,45.16,Drought-resistant Crops,510.85,230.0
2015,Canada,Ontario,Wheat,14.55,2246.35,2.94,2.8,1,51.57,49.28,8.16,45.16,Drought-resistant Crops,510.85,236.0
2015,Canada,Ontario,Wheat,14.55,2246.35,2.94,2.8,1,51.57,49.28,8.16,45.16,Drought-resistant Crops,510.85,228.0
2015,Canada,Ontario,Wheat,14.55,2246.35,2.94,2.8,1,51.57,49.28,8.16,45.16,Drought-resistant Crops,510.85,220.0
2015,Canada,Ontario,Wheat,14.55,2246.35,2.94,2.8,1,51.57,49.28,8.16,45.16,Drought-resistant Crops,510.85,221.0
2015,Canada,Ontario,Wheat,14.55,2246.35,2.94,2.8,1,51.57,49.28,8.16,45.16,Drought-resistant Crops,510.85,217.0
2015,Canada,Ontario,Wheat,14.55,2246.35,2.94,2.8,1,51.57,49.28,8.16,45.16,Drought-resistant Crops,510.85,227.0
2015,Canada,Ontario,Wheat,14.55,2246.35,2.94,2.8,1,51.57,49.28,8.16,45.16,Drought-resistant Crops,510.85,229.0
2015,Canada,Ontario,Wheat,14.55,2246.35,2.94,2.8,1,51.57,49.28,8.16,45.16,Drought-resistant Crops,510.85,241.0
2015,Canada,Ontario,Wheat,14.55,2246.35,2.94,2.8,1,51.57,49.28,8.16,45.16,Drought-resistant Crops,510.85,244.0
2015,Canada,Ontario,Wheat,14.55,2246.35,2.94,2.8,1,51.57,49.28,8.16,45.16,Drought-resistant Crops,510.85,238.0
2015,Canada,Ontario,Wheat,14.55,2246.35,2.94,2.8,1,51.57,49.28,8.16,45.16,Drought-resistant Crops,510.85,246.0
2015,Canada,Ontario,Wheat,14.55,2246.35,2.94,2.8,1,51.57,49.28,8.16,45.16,Drought-resistant Crops,510.85,232.1
2015,Canada,Ontario,Wheat,14.55,2246.35,2.94,2.8,1,51.57,49.28,8.16,45.16,Drought-resistant Crops,510.85,181.5
2005,Nigeria,North West,Wheat,-3.02,989.08,3.39,0.66,3,15.11,21.65,60.86,42.06,Crop Rotation,157.88,60140.0
2005,Nigeria,North West,Wheat,-3.02,989.08,3.39,0.66,3,15.11,21.65,60.86,42.06,Crop Rotation,157.88,60140.0
2005,Nigeria,North West,Wheat,-3.02,989.08,3.39,0.66,3,15.11,21.65,60.86,42.06,Crop Rotation,157.88,458.1
2001,France,Ile-de-France,Rice,16.31,624.6,28.26,3.294,3,30.35,2.32,68.33,57.18,Organic Farming,936.27,1692.7
2001,France,Ile-de-France,Rice,16.31,624.6,28.26,3.294,3,30.35,2.32,68.33,57.18,Organic Farming,936.27,258.1
2001,France,Ile-de-France,Rice,16.31,624.6,28.26,3.294,3,30.35,2.32,68.33,57.18,Organic Farming,936.27,230.9
2003,France,Provence-Alpes-Cote d’Azur,Barley,4.93,2690.31,15.61,0.63,10,28.46,48.21,98.69,30.57,Organic Farming,90.99,106.0
2003,France,Provence-Alpes-Cote d’Azur,Barley,4.93,2690.31,15.61,0.63,10,28.46,48.21,98.69,30.57,Organic Farming,90.99,106.0
2003,France,Provence-Alpes-Cote d’Azur,Barley,4.93,2690.31,15.61,0.63,10,28.46,48.21,98.69,30.57,Organic Farming,90.99,119.6
1994,Canada,Ontario,Barley,11.95,2296.79,2.46,4.63,8,43.9,37.76,87.62,63.03,Crop Rotation,1113.21,73.0
1994,Canada,Ontario,Barley,11.95,2296.79,2.46,4.63,8,43.9,37.76,87.62,63.03,Crop Rotation,1113.21,73.0
1994,Canada,Ontario,Barley,11.95,2296.79,2.46,4.63,8,43.9,37.76,87.62,63.03,Crop Rotation,1113.21,53.5
2002,India,West Bengal,Wheat,28.57,1218.99,9.92,2.91,0,70.67,38.53,37.27,82.58,Crop Rotation,759.5,6765.7
2002,India,West Bengal,Wheat,28.57,1218.99,9.92,2.91,0,70.67,38.53,37.27,82.58,Crop Rotation,759.5,6765.7
2002,India,West Bengal,Wheat,28.57,1218.99,9.92,2.91,0,70.67,38.53,37.27,82.58,Crop Rotation,759.5,139.2
1995,China,South,Wheat,20.09,2154.71,11.72,3.09,2,82.0,48.93,2.35,50.08,Water Management,574.27,1445.0
1995,China,South,Wheat,20.09,2154.71,11.72,3.09,2,82.0,48.93,2.35,50.08,Water Management,574.27,1445.0
1995,China,South,Wheat,20.09,2154.71,11.72,3.09,2,82.0,48.93,2.35,50.08,Water Management,574.27,173.0
1991,China,Central,Wheat,30.86,2321.0,29.47,1.548,1,35.28,16.36,28.87,60.32,Water Management,270.88,614.0
1991,China,Central,Wheat,30.86,2321.0,29.47,1.548,1,35.28,16.36,28.87,60.32,Water Management,270.88,614.0
1991,China,Central,Wheat,30.86,2321.0,29.47,1.548,1,35.28,16.36,28.87,60.32,Water Management,270.88,115.3
2021,Brazil,North,Wheat,23.54,609.75,5.32,3.29,3,16.76,2.7,29.87,33.53,Water Management,954.39,1396.8
2021,Brazil,North,Wheat,23.54,609.75,5.32,3.29,3,16.76,2.7,29.87,33.53,Water Management,954.39,1396.8
2021,Brazil,North,Wheat,23.54,609.75,5.32,3.29,3,16.76,2.7,29.87,33.53,Water Management,954.39,258.9
2010,France,Ile-de-France,Barley,29.45,1831.97,5.3,3.8,10,20.26,0.72,49.91,99.65,Water Management,648.96,153.5
2010,France,Ile-de-France,Barley,29.45,1831.97,5.3,3.8,10,20.26,0.72,49.91,99.65,Water Management,648.96,153.5
